departement,nom,wiki_fr,wiki_en,image,type_lait,type_fromage
Savoie,Persillé de Tignes,http://fr.wikipedia.org/wiki/Persill%C3%A9_de_Tignes,,,Chèvre,blue-cheese
Savoie,Persillé des Aravis,http://fr.wikipedia.org/wiki/Persill%C3%A9_des_Aravis,,,Chèvre,blue-cheese
Hautes-Alpes,Persillé du col Bayard,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_col_Bayard,,,Vache,blue-cheese
Lozère,Persillé du Malzieu,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Malzieu,,,Brebis,blue-cheese
Savoie,Persillé du Mont-Cenis,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_Mont-Cenis,,,Chèvre,blue-cheese
Drôme,Pétafine,http://fr.wikipedia.org/wiki/P%C3%A9tafine,,,Chèvre,mixed-cheese
Ille-et-Vilaine,Petit Billy,http://fr.wikipedia.org/wiki/Petit_Billy,,,Chèvre,fresh-cheese
Côte-d'Or,Petit Gaugry,http://fr.wikipedia.org/wiki/Petit_Gaugry,,,Vache,rind-washed-cheese
Réunion,Petit moka,http://fr.wikipedia.org/wiki/Petit_moka,,,Vache,uncooked-pressed-cheese
Hautes-Alpes,Pic du Vieux Chaillol,http://fr.wikipedia.org/wiki/Pic_du_Vieux_Chaillol_%28fromage%29,,,Vache,soft-ripened-cheese
Drôme,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,,Chèvre,soft-ripened-cheese
Gard,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,,Chèvre,soft-ripened-cheese
Ardèche,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,,Chèvre,soft-ripened-cheese
Vaucluse,Picodon,http://fr.wikipedia.org/wiki/Picodon,http://en.wikipedia.org/wiki/Picodon,,Chèvre,soft-ripened-cheese
Loiret,Pithiviers au foin,http://fr.wikipedia.org/wiki/Pithiviers_au_foin,,,Vache,soft-ripened-cheese
Réunion,Piton des Neiges,http://fr.wikipedia.org/wiki/Piton_des_Neiges_%28fromage%29,,,Vache,cooked-pressed-cheese
Réunion,Piton Maïdo,http://fr.wikipedia.org/wiki/Piton_Ma%C3%AFdo_%28fromage%29,,,Vache,uncooked-pressed-cheese
Seine-Maritime,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,,Vache,rind-washed-cheese
Eure,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,,Vache,rind-washed-cheese
Mayenne,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,http://en.wikipedia.org/wiki/Pont-l%27%C3%89v%C3%AAque_cheese,,Vache,rind-washed-cheese
